,Entry_Duct_Name,Sex,Institute,End_Year
253,登記分發,女,財經學院,103
254,登記分發,女,財經學院,103
255,登記分發,女,財經學院,103
256,登記分發,女,財經學院,103
257,登記分發,女,財經學院,103
258,登記分發,女,財經學院,103
259,登記分發,女,財經學院,104
260,登記分發,女,財經學院,104
261,體優聯招,女,財經學院,103
262,體優獨招,男,財經學院,105
263,體優獨招,男,財經學院,105
264,繁星計畫,男,財經學院,103
265,繁星計畫,男,財經學院,103
266,申請入學,男,財經學院,103
267,推甄,女,財經學院,103
268,推甄,女,財經學院,103
269,推甄,女,財經學院,103
270,推甄,女,財經學院,103
271,推甄,女,財經學院,103
272,推甄,女,財經學院,103
273,推甄,女,財經學院,103
274,推甄,女,財經學院,103
275,推甄,女,財經學院,103
276,推甄,女,財經學院,103
277,推甄,女,財經學院,103
278,推甄,女,財經學院,103
279,推甄,女,財經學院,103
280,推甄,女,財經學院,103
281,推甄,女,財經學院,103
282,推甄,女,財經學院,103
283,推甄,女,財經學院,103
284,推甄,女,財經學院,103
285,登記分發,女,財經學院,105
286,登記分發,女,財經學院,105
287,登記分發,女,財經學院,105
288,登記分發,女,財經學院,103
289,登記分發,女,財經學院,103
290,登記分發,女,財經學院,103
291,登記分發,女,財經學院,103
292,登記分發,女,財經學院,103
293,登記分發,女,財經學院,103
294,登記分發,女,財經學院,103
295,登記分發,女,財經學院,103
296,登記分發,女,財經學院,103
297,登記分發,女,財經學院,103
298,登記分發,女,財經學院,103
299,登記分發,女,財經學院,104
300,登記分發,女,財經學院,104
301,登記分發,男,財經學院,103
302,登記分發,男,財經學院,103
303,登記分發,女,財經學院,103
304,登記分發,女,財經學院,103
305,登記分發,女,財經學院,103
306,登記分發,女,財經學院,103
307,登記分發,女,財經學院,103
308,繁星計畫,女,管理學院,103
309,繁星計畫,女,管理學院,103
310,繁星計畫,女,管理學院,103
311,繁星計畫,女,管理學院,103
312,繁星計畫,女,管理學院,103
313,繁星計畫,女,管理學院,103
314,繁星計畫,女,管理學院,103
315,繁星計畫,女,管理學院,103
316,申請入學,男,管理學院,103
317,申請入學,男,管理學院,103
318,申請入學,女,管理學院,103
319,申請入學,女,管理學院,103
320,申請入學,女,管理學院,103
321,申請入學,女,管理學院,103
322,推甄,女,管理學院,103
323,推甄,女,管理學院,103
324,推甄,女,管理學院,103
325,推甄,女,管理學院,103
326,推甄,男,管理學院,103
327,推甄,男,管理學院,103
328,推甄,女,管理學院,103
329,推甄,女,管理學院,103
330,推甄,女,管理學院,103
331,推甄,女,管理學院,103
332,離島,男,管理學院,103
333,原民推薦,女,管理學院,103
334,登記分發,女,管理學院,103
335,登記分發,女,管理學院,103
336,登記分發,男,管理學院,103
337,登記分發,男,管理學院,103
338,登記分發,男,管理學院,103
339,登記分發,男,管理學院,103
340,登記分發,女,管理學院,103
341,登記分發,女,管理學院,103
342,登記分發,女,管理學院,103
343,登記分發,女,管理學院,103
344,登記分發,女,管理學院,103
345,登記分發,男,管理學院,103
346,登記分發,男,管理學院,103
347,登記分發,女,管理學院,104
348,登記分發,女,管理學院,104
349,原民登記,女,管理學院,104
350,登記分發,男,管理學院,104
351,登記分發,男,管理學院,104
352,登記分發,男,管理學院,103
353,登記分發,男,管理學院,103
354,登記分發,男,管理學院,103
355,登記分發,女,管理學院,103
356,登記分發,男,管理學院,103
357,登記分發,女,管理學院,103
358,登記分發,女,管理學院,103
359,登記分發,女,管理學院,104
360,登記分發,女,管理學院,104
361,登記分發,女,管理學院,103
362,登記分發,女,管理學院,103
363,登記分發,女,管理學院,103
364,登記分發,女,管理學院,103
365,登記分發,男,管理學院,103
366,登記分發,女,管理學院,103
367,原民登記,女,管理學院,106
368,登記分發,男,管理學院,103
369,登記分發,男,管理學院,103
370,登記分發,女,管理學院,103
371,體優獨招,女,管理學院,105
372,體優獨招,女,管理學院,105
373,技優保送,女,管理學院,105
374,繁星計畫,男,管理學院,103
375,繁星計畫,女,管理學院,103
376,繁星計畫,女,管理學院,103
377,推甄,女,管理學院,103
378,推甄,女,管理學院,103
379,推甄,男,管理學院,103
380,推甄,男,管理學院,103
381,推甄,男,管理學院,103
382,推甄,男,管理學院,103
383,推甄,男,管理學院,103
384,推甄,男,管理學院,103
385,推甄,男,管理學院,103
386,推甄,男,管理學院,103
387,推甄,女,管理學院,103
388,推甄,女,管理學院,103
389,登記分發,男,管理學院,103
390,登記分發,女,管理學院,103
391,登記分發,男,管理學院,103
392,登記分發,男,管理學院,103
393,登記分發,女,管理學院,103
394,登記分發,男,管理學院,103
395,登記分發,女,管理學院,103
396,登記分發,女,管理學院,103
397,登記分發,女,管理學院,103
398,登記分發,男,管理學院,106
399,登記分發,男,管理學院,106
400,登記分發,男,管理學院,103
401,登記分發,女,管理學院,103
402,登記分發,女,管理學院,103
403,登記分發,女,管理學院,103
404,登記分發,女,管理學院,103
405,登記分發,女,管理學院,103
406,登記分發,女,管理學院,104
407,登記分發,女,管理學院,104
408,登記分發,女,管理學院,103
409,原民登記,女,管理學院,103
410,登記分發,男,管理學院,103
411,登記分發,男,管理學院,103
412,登記分發,男,管理學院,105
413,登記分發,男,管理學院,105
414,登記分發,男,管理學院,105
415,登記分發,男,管理學院,103
416,登記分發,女,管理學院,103
417,登記分發,女,管理學院,103
418,登記分發,男,管理學院,103
419,登記分發,男,管理學院,103
420,登記分發,女,管理學院,103
421,登記分發,男,管理學院,103
422,登記分發,女,管理學院,103
423,登記分發,女,管理學院,103
424,登記分發,女,管理學院,103
425,體優獨招,男,管理學院,104
426,繁星計畫,男,管理學院,103
427,繁星計畫,女,管理學院,103
428,繁星計畫,女,管理學院,103
429,繁星計畫,女,管理學院,104
430,申請入學,男,管理學院,104
431,申請入學,男,管理學院,104
432,推甄,男,管理學院,103
433,推甄,女,管理學院,103
434,推甄,女,管理學院,103
435,推甄,女,管理學院,103
436,推甄,女,管理學院,103
437,推甄,女,管理學院,103
438,登記分發,女,管理學院,103
439,登記分發,女,管理學院,103
440,登記分發,女,管理學院,103
441,登記分發,女,管理學院,103
442,登記分發,女,管理學院,103
443,登記分發,女,管理學院,103
444,登記分發,女,管理學院,103
445,登記分發,女,管理學院,103
446,登記分發,男,管理學院,103
447,登記分發,男,管理學院,103
448,登記分發,女,管理學院,103
449,登記分發,女,管理學院,103
450,登記分發,女,管理學院,104
451,登記分發,男,管理學院,103
452,登記分發,女,管理學院,104
453,登記分發,男,管理學院,103
454,登記分發,女,管理學院,103
455,登記分發,女,管理學院,103
456,免試入學,女,管理學院,104
457,免試入學,女,管理學院,104
458,免試入學,女,管理學院,104
459,免試入學,女,管理學院,104
460,免試入學,女,管理學院,104
461,免試入學,女,管理學院,104
462,免試入學,女,管理學院,104
463,免試入學,女,管理學院,104
464,免試入學,女,管理學院,104
465,申請抽籤,女,管理學院,104
466,申請抽籤,女,管理學院,104
467,申請抽籤,女,管理學院,104
468,申請抽籤,女,管理學院,104
469,申請抽籤,女,管理學院,104
470,申請抽籤,女,管理學院,104
471,申請抽籤,女,管理學院,104
472,登記分發,女,管理學院,104
473,登記分發,男,管理學院,104
474,登記分發,男,管理學院,104
475,登記分發,女,管理學院,104
476,登記分發,女,管理學院,104
477,登記分發,女,管理學院,105
478,登記分發,女,管理學院,104
479,登記分發,女,管理學院,104
480,登記分發,女,管理學院,105
481,登記分發,女,管理學院,105
482,登記分發,女,管理學院,104
483,登記分發,女,管理學院,104
484,免試入學,女,財經學院,104
485,免試入學,女,財經學院,104
486,免試入學,女,財經學院,104
487,免試入學,女,財經學院,104
488,免試入學,女,財經學院,104
489,免試入學,女,財經學院,104
490,免試入學,男,財經學院,105
491,免試入學,女,財經學院,104
492,免試入學,女,財經學院,104
493,免試入學,女,財經學院,104
494,免試入學,女,財經學院,104
495,身障免試,女,財經學院,104
496,身障免試,女,財經學院,104
497,申請抽籤,女,財經學院,104
498,申請抽籤,女,財經學院,104
499,申請抽籤,男,財經學院,104
500,申請抽籤,男,財經學院,104
