,畢業滿_年,工作職業類型
8294,1,金融財務類
8295,5,
8296,3,金融財務類
8297,1,
8298,1,金融財務類
8299,3,金融財務類
8300,3,金融財務類
8301,1,
8302,3,金融財務類
8303,1,金融財務類
8304,5,
8305,3,金融財務類
8306,1,物流運輸類
8307,1,金融財務類
8308,3,金融財務類
8309,3,金融財務類
8310,1,金融財務類
8311,1,企業經營管理類
8312,3,科學、技術、工程、數學類
8313,1,金融財務類
8314,3,金融財務類
8315,1,科學、技術、工程、數學類
8316,3,資訊科技類
8317,5,
8318,1,建築營造業
8319,3,金融財務類
8320,5,
8321,5,
8322,1,金融財務類
8323,3,金融財務類
8324,3,金融財務類
8325,1,金融財務類
8326,1,休閒與觀光旅遊類
8327,3,資訊科技類
8328,3,行銷與銷售類
8329,1,
8330,1,企業經營管理類
8331,1,
8332,1,製造業
8333,1,製造業
8334,1,
8335,1,金融財務類
8336,1,企業經營管理類
8337,1,企業經營管理類
8338,1,
8339,1,
8340,1,
8341,1,金融財務類
8342,1,
8343,1,資訊科技類
8344,3,資訊科技類
8345,1,資訊科技類
8346,3,資訊科技類
8347,3,資訊科技類
8348,1,資訊科技類
8349,3,
8350,1,
8351,5,
8352,3,資訊科技類
8353,1,科學、技術、工程、數學類
8354,3,政府公共事務類
8355,1,
8356,5,
8357,1,教育與訓練類
8358,3,資訊科技類
8359,1,行銷與銷售類
8360,3,行銷與銷售類
8361,5,
8362,1,物流運輸類
8363,3,物流運輸類
8364,1,行銷與銷售類
8365,3,製造業
8366,5,
8367,3,企業經營管理類
8368,1,
8369,1,製造業
8370,3,行銷與銷售類
8371,1,行銷與銷售類
8372,3,行銷與銷售類
8373,1,金融財務類
8374,3,金融財務類
8375,5,
8376,3,製造業
8377,1,製造業
8378,1,
8379,3,資訊科技類
8380,1,行銷與銷售類
8381,1,醫療保健類
8382,1,政府公共事務類
8383,3,教育與訓練類
8384,5,
8385,1,企業經營管理類
8386,1,金融財務類
8387,3,金融財務類
8388,3,金融財務類
8389,1,休閒與觀光旅遊類
8390,3,金融財務類
8391,1,
8392,1,
8393,1,金融財務類
8394,1,金融財務類
8395,3,
8396,1,
8397,3,金融財務類
8398,3,企業經營管理類
8399,3,金融財務類
8400,3,金融財務類
8401,1,金融財務類
8402,1,金融財務類
8403,3,製造業
8404,1,金融財務類
8405,1,金融財務類
8406,3,金融財務類
8407,1,金融財務類
8408,3,
8409,1,
8410,3,金融財務類
8411,1,金融財務類
8412,3,金融財務類
8413,1,金融財務類
8414,3,
8415,3,金融財務類
8416,1,金融財務類
8417,3,金融財務類
8418,1,行銷與銷售類
8419,1,
8420,3,
8421,1,
8422,3,金融財務類
8423,1,金融財務類
8424,1,
8425,3,金融財務類
8426,1,
8427,3,
8428,1,金融財務類
8429,3,金融財務類
8430,1,金融財務類
8431,3,金融財務類
8432,1,
8433,3,金融財務類
8434,1,金融財務類
8435,1,金融財務類
8436,3,金融財務類
8437,1,金融財務類
8438,1,
8439,3,金融財務類
8440,1,金融財務類
8441,3,金融財務類
8442,1,行銷與銷售類
8443,3,
8444,3,金融財務類
8445,1,金融財務類
8446,3,金融財務類
8447,1,金融財務類
8448,3,金融財務類
8449,1,金融財務類
8450,3,金融財務類
8451,1,金融財務類
8452,1,金融財務類
8453,1,金融財務類
8454,3,金融財務類
8455,1,金融財務類
8456,3,金融財務類
8457,3,金融財務類
8458,1,政府公共事務類
8459,1,金融財務類
8460,3,
8461,1,
8462,1,
8463,3,金融財務類
8464,3,金融財務類
8465,1,金融財務類
8466,1,行銷與銷售類
8467,1,金融財務類
8468,3,金融財務類
8469,1,金融財務類
8470,3,金融財務類
8471,1,金融財務類
8472,3,金融財務類
8473,3,行銷與銷售類
8474,1,金融財務類
8475,3,金融財務類
8476,3,金融財務類
8477,1,金融財務類
8478,3,行銷與銷售類
8479,1,
8480,3,金融財務類
8481,3,金融財務類
8482,1,金融財務類
8483,3,司法、法律與公共安全類
8484,3,個人及社會服務類
8485,3,金融財務類
8486,1,
8487,3,金融財務類
8488,1,金融財務類
8489,1,金融財務類
8490,3,
8491,3,金融財務類
8492,1,金融財務類
8493,3,金融財務類
8494,1,金融財務類
8495,3,金融財務類
8496,3,金融財務類
8497,3,金融財務類
8498,1,
8499,3,金融財務類
8500,1,金融財務類
8501,3,金融財務類
8502,1,金融財務類
8503,1,金融財務類
8504,3,資訊科技類
8505,3,金融財務類
8506,3,金融財務類
8507,1,金融財務類
8508,3,金融財務類
8509,3,金融財務類
8510,3,行銷與銷售類
8511,1,金融財務類
8512,1,
8513,3,企業經營管理類
8514,3,金融財務類
8515,1,藝文與影音傳播類
8516,3,金融財務類
8517,3,教育與訓練類
8518,1,醫療保健類
8519,3,金融財務類
8520,1,資訊科技類
8521,3,資訊科技類
8522,3,行銷與銷售類
8523,1,製造業
8524,3,製造業
8525,1,行銷與銷售類
8526,3,金融財務類
8527,1,
8528,1,
8529,1,行銷與銷售類
8530,1,企業經營管理類
8531,3,行銷與銷售類
8532,3,教育與訓練類
8533,1,教育與訓練類
8534,3,資訊科技類
8535,3,
8536,1,行銷與銷售類
8537,3,教育與訓練類
8538,3,政府公共事務類
8539,1,製造業
8540,3,金融財務類
8541,1,金融財務類
8542,1,
8543,3,資訊科技類
8544,3,資訊科技類
8545,1,
8546,1,行銷與銷售類
8547,1,
8548,3,製造業
8549,1,
8550,1,行銷與銷售類
8551,3,行銷與銷售類
8552,1,製造業
8553,1,企業經營管理類
8554,3,
8555,1,醫療保健類
8556,1,教育與訓練類
8557,1,製造業
8558,1,
8559,3,企業經營管理類
8560,3,個人及社會服務類
8561,1,行銷與銷售類
8562,3,資訊科技類
8563,1,金融財務類
8564,3,行銷與銷售類
8565,1,行銷與銷售類
8566,1,資訊科技類
8567,3,科學、技術、工程、數學類
8568,1,
8569,1,資訊科技類
8570,3,行銷與銷售類
8571,1,行銷與銷售類
8572,3,物流運輸類
8573,3,金融財務類
8574,3,
8575,3,資訊科技類
8576,1,資訊科技類
8577,1,
8578,1,資訊科技類
8579,3,資訊科技類
8580,3,休閒與觀光旅遊類
8581,1,休閒與觀光旅遊類
8582,1,製造業
8583,3,科學、技術、工程、數學類
8584,1,
8585,3,製造業
8586,3,金融財務類
8587,1,金融財務類
8588,3,
8589,1,
8590,3,資訊科技類
8591,1,資訊科技類
8592,1,資訊科技類
8593,1,
8594,3,資訊科技類
8595,1,
8596,3,科學、技術、工程、數學類
8597,1,資訊科技類
8598,3,製造業
8599,3,
8600,1,
8601,1,
8602,3,資訊科技類
8603,3,金融財務類
8604,1,資訊科技類
8605,3,醫療保健類
8606,1,
8607,1,資訊科技類
8608,3,金融財務類
8609,3,
8610,1,
8611,3,資訊科技類
8612,3,行銷與銷售類
8613,1,休閒與觀光旅遊類
8614,1,金融財務類
8615,3,金融財務類
8616,3,金融財務類
8617,3,資訊科技類
8618,1,
8619,3,個人及社會服務類
8620,1,資訊科技類
8621,3,製造業
8622,1,製造業
8623,1,金融財務類
8624,3,資訊科技類
8625,1,資訊科技類
8626,1,資訊科技類
8627,3,金融財務類
8628,1,資訊科技類
8629,3,物流運輸類
8630,1,
8631,3,金融財務類
8632,3,金融財務類
8633,3,資訊科技類
8634,1,教育與訓練類
8635,1,物流運輸類
8636,1,金融財務類
8637,1,
8638,3,資訊科技類
8639,1,
8640,1,企業經營管理類
8641,1,
8642,3,企業經營管理類
8643,1,教育與訓練類
8644,3,製造業
8645,1,
8646,3,
8647,1,
8648,3,政府公共事務類
8649,1,物流運輸類
8650,3,
8651,3,行銷與銷售類
8652,1,休閒與觀光旅遊類
8653,3,資訊科技類
8654,1,企業經營管理類
8655,1,教育與訓練類
8656,3,金融財務類
8657,1,行銷與銷售類
8658,1,企業經營管理類
8659,3,資訊科技類
8660,3,金融財務類
8661,1,金融財務類
8662,1,製造業
8663,1,
8664,1,
8665,3,
8666,3,行銷與銷售類
8667,3,行銷與銷售類
8668,1,物流運輸類
8669,3,行銷與銷售類
8670,1,行銷與銷售類
8671,1,物流運輸類
8672,3,資訊科技類
8673,3,資訊科技類
8674,1,
8675,1,天然資源、食品與農業類
8676,3,政府公共事務類
8677,1,藝文與影音傳播類
8678,3,行銷與銷售類
8679,3,醫療保健類
8680,1,醫療保健類
8681,1,科學、技術、工程、數學類
8682,1,政府公共事務類
8683,3,資訊科技類
8684,1,
8685,3,教育與訓練類
8686,1,行銷與銷售類
8687,3,行銷與銷售類
8688,3,藝文與影音傳播類
8689,3,行銷與銷售類
8690,3,休閒與觀光旅遊類
8691,1,個人及社會服務類
8692,3,科學、技術、工程、數學類
8693,1,行銷與銷售類
8694,3,
8695,1,藝文與影音傳播類
8696,1,建築營造業
8697,1,藝文與影音傳播類
8698,3,金融財務類
8699,3,金融財務類
8700,1,金融財務類
8701,1,企業經營管理類
8702,1,資訊科技類
8703,3,行銷與銷售類
8704,1,行銷與銷售類
8705,1,金融財務類
8706,3,製造業
8707,1,藝文與影音傳播類
8708,1,行銷與銷售類
8709,1,科學、技術、工程、數學類
8710,1,金融財務類
8711,1,藝文與影音傳播類
8712,3,資訊科技類
8713,1,
8714,3,科學、技術、工程、數學類
8715,3,
8716,3,
8717,1,藝文與影音傳播類
8718,1,藝文與影音傳播類
8719,3,天然資源、食品與農業類
8720,1,行銷與銷售類
8721,3,天然資源、食品與農業類
8722,1,企業經營管理類
8723,1,行銷與銷售類
8724,1,
8725,3,
8726,1,個人及社會服務類
8727,1,行銷與銷售類
8728,1,個人及社會服務類
8729,1,企業經營管理類
8730,3,行銷與銷售類
8731,1,金融財務類
8732,1,企業經營管理類
8733,1,企業經營管理類
8734,1,藝文與影音傳播類
8735,1,個人及社會服務類
8736,1,企業經營管理類
8737,3,休閒與觀光旅遊類
8738,1,行銷與銷售類
8739,3,行銷與銷售類
8740,1,個人及社會服務類
8741,3,休閒與觀光旅遊類
8742,1,行銷與銷售類
8743,3,行銷與銷售類
8744,1,企業經營管理類
8745,1,行銷與銷售類
8746,1,藝文與影音傳播類
8747,3,
8748,1,製造業
8749,1,行銷與銷售類
8750,3,藝文與影音傳播類
8751,1,藝文與影音傳播類
8752,3,行銷與銷售類
8753,3,
8754,1,企業經營管理類
8755,3,藝文與影音傳播類
8756,3,資訊科技類
8757,1,藝文與影音傳播類
8758,1,行銷與銷售類
8759,1,
8760,3,資訊科技類
8761,1,資訊科技類
8762,1,政府公共事務類
8763,1,
8764,3,資訊科技類
8765,1,
8766,1,藝文與影音傳播類
8767,3,資訊科技類
8768,1,藝文與影音傳播類
8769,3,個人及社會服務類
8770,1,
8771,1,藝文與影音傳播類
8772,1,藝文與影音傳播類
8773,1,個人及社會服務類
8774,3,醫療保健類
8775,3,藝文與影音傳播類
8776,1,藝文與影音傳播類
8777,1,政府公共事務類
8778,1,企業經營管理類
8779,1,資訊科技類
8780,1,資訊科技類
8781,3,
8782,1,
8783,1,藝文與影音傳播類
8784,1,藝文與影音傳播類
8785,1,藝文與影音傳播類
8786,1,藝文與影音傳播類
8787,3,天然資源、食品與農業類
8788,1,行銷與銷售類
8789,1,
8790,3,
8791,3,
8792,1,金融財務類
8793,1,
8794,1,金融財務類
8795,1,金融財務類
8796,1,
8797,1,政府公共事務類
8798,1,
8799,1,金融財務類
8800,1,金融財務類
8801,1,金融財務類
8802,1,資訊科技類
8803,1,金融財務類
8804,1,金融財務類
8805,1,
8806,1,政府公共事務類
8807,1,金融財務類
8808,1,金融財務類
8809,1,金融財務類
8810,1,金融財務類
8811,1,
8812,1,
8813,1,
8814,1,金融財務類
8815,1,
8816,1,政府公共事務類
8817,1,金融財務類
8818,1,金融財務類
8819,1,
8820,1,企業經營管理類
8821,1,金融財務類
8822,1,金融財務類
8823,1,金融財務類
8824,1,金融財務類
8825,1,金融財務類
8826,1,金融財務類
8827,1,金融財務類
8828,1,
8829,1,金融財務類
8830,1,金融財務類
8831,1,金融財務類
8832,1,休閒與觀光旅遊類
8833,1,金融財務類
8834,1,行銷與銷售類
8835,1,金融財務類
8836,1,金融財務類
8837,1,金融財務類
8838,1,金融財務類
8839,1,金融財務類
8840,1,金融財務類
8841,1,教育與訓練類
8842,1,醫療保健類
8843,1,金融財務類
8844,1,金融財務類
8845,1,行銷與銷售類
8846,1,
8847,1,金融財務類
8848,1,金融財務類
8849,1,企業經營管理類
8850,1,金融財務類
8851,1,金融財務類
8852,1,行銷與銷售類
8853,1,
8854,1,金融財務類
8855,1,金融財務類
8856,1,藝文與影音傳播類
8857,1,
8858,1,金融財務類
8859,1,
8860,1,行銷與銷售類
8861,1,行銷與銷售類
8862,1,教育與訓練類
8863,1,金融財務類
8864,1,
8865,1,
8866,1,
8867,1,金融財務類
8868,1,
8869,1,金融財務類
8870,1,休閒與觀光旅遊類
8871,1,金融財務類
8872,1,金融財務類
8873,1,企業經營管理類
8874,1,科學、技術、工程、數學類
8875,1,金融財務類
8876,1,金融財務類
8877,1,個人及社會服務類
8878,1,金融財務類
8879,1,資訊科技類
8880,1,金融財務類
8881,1,
8882,1,
8883,1,
8884,1,金融財務類
8885,1,金融財務類
8886,1,金融財務類
8887,1,行銷與銷售類
8888,1,金融財務類
8889,1,金融財務類
8890,1,政府公共事務類
8891,1,資訊科技類
8892,1,
8893,1,資訊科技類
8894,1,行銷與銷售類
8895,1,金融財務類
8896,1,金融財務類
8897,1,
8898,1,資訊科技類
8899,1,金融財務類
8900,1,金融財務類
8901,1,金融財務類
8902,1,金融財務類
8903,1,物流運輸類
8904,1,行銷與銷售類
8905,1,
8906,1,
8907,1,金融財務類
8908,1,
8909,1,金融財務類
8910,1,金融財務類
8911,1,個人及社會服務類
8912,1,
8913,1,金融財務類
8914,1,金融財務類
8915,1,天然資源、食品與農業類
8916,1,
8917,1,金融財務類
8918,1,金融財務類
8919,1,
8920,1,金融財務類
8921,1,金融財務類
8922,1,
8923,1,行銷與銷售類
8924,1,金融財務類
8925,1,金融財務類
8926,1,行銷與銷售類
8927,1,政府公共事務類
8928,1,金融財務類
8929,1,金融財務類
8930,1,金融財務類
8931,1,
8932,1,金融財務類
8933,1,教育與訓練類
8934,1,金融財務類
8935,1,物流運輸類
8936,1,藝文與影音傳播類
8937,1,
8938,1,行銷與銷售類
8939,1,醫療保健類
8940,1,金融財務類
8941,1,金融財務類
8942,1,製造業
8943,1,
8944,1,
8945,1,製造業
8946,1,金融財務類
8947,1,行銷與銷售類
8948,1,資訊科技類
8949,1,資訊科技類
8950,1,資訊科技類
8951,1,教育與訓練類
8952,1,行銷與銷售類
8953,1,
8954,1,金融財務類
8955,1,教育與訓練類
8956,1,
8957,1,教育與訓練類
8958,1,企業經營管理類
8959,1,
8960,1,行銷與銷售類
8961,1,個人及社會服務類
8962,1,
8963,1,
8964,1,行銷與銷售類
8965,1,
8966,1,金融財務類
8967,1,教育與訓練類
8968,1,金融財務類
8969,1,金融財務類
8970,1,個人及社會服務類
8971,1,金融財務類
8972,1,企業經營管理類
8973,1,資訊科技類
8974,1,物流運輸類
8975,1,
8976,1,
8977,1,資訊科技類
8978,1,
8979,1,資訊科技類
8980,1,資訊科技類
8981,1,資訊科技類
8982,1,物流運輸類
8983,1,資訊科技類
8984,1,
8985,1,
8986,1,資訊科技類
8987,1,
8988,1,
8989,1,資訊科技類
8990,1,
8991,1,
8992,1,資訊科技類
8993,1,製造業
8994,1,資訊科技類
8995,1,行銷與銷售類
8996,1,
8997,1,資訊科技類
8998,1,
8999,1,資訊科技類
9000,1,教育與訓練類
9001,1,教育與訓練類
9002,1,企業經營管理類
9003,1,行銷與銷售類
9004,1,行銷與銷售類
9005,1,行銷與銷售類
9006,1,建築營造業
9007,1,
9008,1,休閒與觀光旅遊類
9009,1,
9010,1,教育與訓練類
9011,1,休閒與觀光旅遊類
9012,1,休閒與觀光旅遊類
9013,1,休閒與觀光旅遊類
9014,1,醫療保健類
9015,1,物流運輸類
9016,1,建築營造業
9017,1,休閒與觀光旅遊類
9018,1,休閒與觀光旅遊類
9019,1,
9020,1,行銷與銷售類
9021,1,行銷與銷售類
9022,1,金融財務類
9023,1,醫療保健類
9024,1,行銷與銷售類
9025,1,藝文與影音傳播類
9026,1,
9027,1,藝文與影音傳播類
9028,1,金融財務類
9029,1,金融財務類
9030,1,藝文與影音傳播類
9031,1,
9032,1,
9033,1,藝文與影音傳播類
9034,1,休閒與觀光旅遊類
9035,1,藝文與影音傳播類
9036,1,資訊科技類
9037,1,
9038,1,政府公共事務類
9039,1,
9040,1,
9041,1,行銷與銷售類
9042,1,藝文與影音傳播類
9043,1,藝文與影音傳播類
9044,1,企業經營管理類
9045,1,行銷與銷售類
9046,1,科學、技術、工程、數學類
9047,1,藝文與影音傳播類
9048,1,藝文與影音傳播類
9049,1,行銷與銷售類
9050,1,行銷與銷售類
9051,1,
9052,1,藝文與影音傳播類
9053,1,建築營造業
9054,1,行銷與銷售類
9055,1,金融財務類
9056,1,
9057,1,金融財務類
9058,1,金融財務類
9059,1,行銷與銷售類
9060,1,行銷與銷售類
9061,1,行銷與銷售類
9062,1,藝文與影音傳播類
9063,1,行銷與銷售類
9064,1,藝文與影音傳播類
9065,1,行銷與銷售類
9066,1,藝文與影音傳播類
9067,1,藝文與影音傳播類
9068,1,資訊科技類
9069,1,物流運輸類
9070,1,藝文與影音傳播類
9071,1,行銷與銷售類
9072,1,行銷與銷售類
9073,1,行銷與銷售類
9074,1,行銷與銷售類
9075,1,行銷與銷售類
9076,1,行銷與銷售類
9077,1,建築營造業
9078,1,
9079,1,
9080,1,製造業
9081,1,藝文與影音傳播類
9082,1,
9083,1,
9084,1,藝文與影音傳播類
9085,1,
9086,1,藝文與影音傳播類
9087,1,金融財務類
9088,1,製造業
9089,1,
9090,1,個人及社會服務類
9091,1,藝文與影音傳播類
9092,1,
9093,1,資訊科技類
9094,1,藝文與影音傳播類
9095,1,資訊科技類
9096,1,
9097,1,藝文與影音傳播類
9098,1,
9099,1,資訊科技類
9100,3,金融財務類
9101,1,金融財務類
9102,3,資訊科技類
9103,1,
9104,3,金融財務類
9105,1,金融財務類
9106,1,金融財務類
9107,3,政府公共事務類
9108,3,物流運輸類
9109,1,
9110,3,金融財務類
9111,1,金融財務類
9112,3,金融財務類
9113,1,金融財務類
9114,1,金融財務類
9115,1,金融財務類
9116,3,金融財務類
9117,1,金融財務類
9118,1,金融財務類
9119,3,天然資源、食品與農業類
9120,1,金融財務類
9121,1,金融財務類
9122,3,資訊科技類
9123,3,
9124,1,金融財務類
9125,3,金融財務類
9126,1,金融財務類
9127,3,金融財務類
9128,3,
9129,1,
9130,1,
9131,1,金融財務類
9132,3,金融財務類
9133,1,企業經營管理類
9134,3,金融財務類
9135,1,金融財務類
9136,3,金融財務類
9137,1,金融財務類
9138,3,金融財務類
9139,1,資訊科技類
9140,3,資訊科技類
9141,1,資訊科技類
9142,3,製造業
9143,1,資訊科技類
9144,3,資訊科技類
9145,3,科學、技術、工程、數學類
9146,1,金融財務類
9147,1,資訊科技類
9148,3,科學、技術、工程、數學類
9149,3,資訊科技類
9150,1,資訊科技類
9151,3,金融財務類
9152,1,金融財務類
9153,3,
9154,1,
9155,1,教育與訓練類
9156,3,科學、技術、工程、數學類
9157,1,科學、技術、工程、數學類
9158,1,金融財務類
9159,1,科學、技術、工程、數學類
9160,3,資訊科技類
9161,3,金融財務類
9162,1,政府公共事務類
9163,1,金融財務類
9164,3,藝文與影音傳播類
9165,3,政府公共事務類
9166,1,資訊科技類
9167,1,
9168,3,金融財務類
9169,1,金融財務類
9170,3,個人及社會服務類
9171,1,醫療保健類
9172,3,個人及社會服務類
9173,3,個人及社會服務類
9174,1,行銷與銷售類
9175,3,個人及社會服務類
9176,1,休閒與觀光旅遊類
9177,1,醫療保健類
9178,1,休閒與觀光旅遊類
9179,1,政府公共事務類
9180,1,金融財務類
9181,1,
9182,3,教育與訓練類
9183,1,金融財務類
9184,1,金融財務類
9185,3,金融財務類
9186,3,金融財務類
9187,1,金融財務類
9188,3,
9189,1,金融財務類
9190,1,金融財務類
9191,3,金融財務類
9192,1,金融財務類
9193,1,金融財務類
9194,1,金融財務類
9195,1,
9196,3,金融財務類
9197,1,政府公共事務類
9198,1,
9199,1,
9200,3,政府公共事務類
9201,1,
9202,3,金融財務類
9203,1,金融財務類
9204,1,
9205,1,資訊科技類
9206,1,金融財務類
9207,3,金融財務類
9208,1,金融財務類
9209,1,製造業
9210,1,金融財務類
9211,3,司法、法律與公共安全類
9212,1,金融財務類
9213,1,醫療保健類
9214,1,金融財務類
9215,3,金融財務類
9216,1,
9217,1,金融財務類
9218,3,金融財務類
9219,1,金融財務類
9220,3,金融財務類
9221,3,金融財務類
9222,3,金融財務類
9223,1,金融財務類
9224,3,金融財務類
9225,1,金融財務類
9226,3,行銷與銷售類
9227,1,金融財務類
9228,1,金融財務類
9229,1,金融財務類
9230,1,物流運輸類
9231,1,物流運輸類
9232,1,
9233,1,
9234,3,金融財務類
9235,1,金融財務類
9236,1,資訊科技類
9237,1,金融財務類
9238,1,製造業
9239,1,金融財務類
9240,3,金融財務類
9241,1,物流運輸類
9242,1,
9243,1,金融財務類
9244,1,金融財務類
9245,1,金融財務類
9246,3,金融財務類
9247,1,政府公共事務類
9248,3,金融財務類
9249,3,行銷與銷售類
9250,3,金融財務類
9251,1,
9252,3,
9253,1,金融財務類
9254,3,
9255,1,
9256,1,金融財務類
9257,3,
9258,1,政府公共事務類
9259,3,
9260,3,
9261,1,金融財務類
9262,3,金融財務類
9263,3,司法、法律與公共安全類
9264,3,
9265,1,政府公共事務類
9266,3,金融財務類
9267,3,政府公共事務類
9268,1,
9269,1,金融財務類
9270,3,金融財務類
9271,1,
9272,3,金融財務類
9273,3,
9274,1,
9275,3,資訊科技類
9276,3,製造業
9277,1,金融財務類
9278,1,
9279,3,資訊科技類
9280,1,資訊科技類
9281,1,金融財務類
9282,3,金融財務類
9283,1,
9284,3,個人及社會服務類
9285,1,行銷與銷售類
9286,3,
9287,1,物流運輸類
9288,1,行銷與銷售類
9289,1,金融財務類
9290,1,醫療保健類
9291,3,醫療保健類
9292,1,企業經營管理類
9293,3,
9294,1,行銷與銷售類
9295,1,行銷與銷售類
9296,1,
9297,3,政府公共事務類
9298,1,行銷與銷售類
9299,1,企業經營管理類
9300,1,
9301,3,
9302,1,製造業
9303,1,
9304,3,製造業
9305,1,
9306,1,
9307,1,企業經營管理類
9308,3,個人及社會服務類
9309,1,行銷與銷售類
9310,1,行銷與銷售類
9311,1,政府公共事務類
9312,1,企業經營管理類
9313,3,企業經營管理類
9314,1,
9315,1,個人及社會服務類
9316,1,政府公共事務類
9317,1,企業經營管理類
9318,1,製造業
9319,1,行銷與銷售類
9320,1,製造業
9321,1,
9322,1,企業經營管理類
9323,1,
9324,3,物流運輸類
9325,1,製造業
9326,3,製造業
9327,1,行銷與銷售類
9328,3,金融財務類
9329,1,金融財務類
9330,1,休閒與觀光旅遊類
9331,1,製造業
9332,1,教育與訓練類
9333,1,企業經營管理類
9334,1,製造業
9335,3,教育與訓練類
9336,1,教育與訓練類
9337,1,科學、技術、工程、數學類
9338,1,金融財務類
9339,1,金融財務類
9340,1,企業經營管理類
9341,3,物流運輸類
9342,1,金融財務類
9343,1,休閒與觀光旅遊類
9344,1,金融財務類
9345,3,金融財務類
9346,1,企業經營管理類
9347,1,製造業
9348,3,製造業
9349,1,政府公共事務類
9350,1,資訊科技類
9351,1,
9352,3,製造業
9353,3,金融財務類
9354,1,金融財務類
9355,1,
9356,1,藝文與影音傳播類
9357,1,製造業
9358,3,科學、技術、工程、數學類
9359,1,行銷與銷售類
9360,1,司法、法律與公共安全類
9361,3,行銷與銷售類
9362,1,資訊科技類
9363,1,教育與訓練類
9364,3,教育與訓練類
9365,1,資訊科技類
9366,3,資訊科技類
9367,1,資訊科技類
9368,3,科學、技術、工程、數學類
9369,1,資訊科技類
9370,3,資訊科技類
9371,3,金融財務類
9372,1,金融財務類
9373,1,企業經營管理類
9374,1,資訊科技類
9375,3,資訊科技類
9376,3,資訊科技類
9377,1,資訊科技類
9378,1,資訊科技類
9379,3,資訊科技類
9380,3,政府公共事務類
9381,1,
9382,3,行銷與銷售類
9383,1,個人及社會服務類
9384,1,企業經營管理類
9385,3,資訊科技類
9386,3,資訊科技類
9387,1,金融財務類
9388,1,個人及社會服務類
9389,3,行銷與銷售類
9390,1,資訊科技類
9391,1,資訊科技類
9392,1,資訊科技類
9393,1,
9394,3,金融財務類
9395,1,金融財務類
9396,1,休閒與觀光旅遊類
9397,1,教育與訓練類
9398,1,休閒與觀光旅遊類
9399,1,
9400,1,藝文與影音傳播類
9401,1,教育與訓練類
9402,1,金融財務類
9403,3,物流運輸類
9404,1,個人及社會服務類
9405,1,資訊科技類
9406,1,金融財務類
9407,1,
9408,1,教育與訓練類
9409,1,行銷與銷售類
9410,3,企業經營管理類
9411,1,企業經營管理類
9412,3,金融財務類
9413,1,金融財務類
9414,1,製造業
9415,1,個人及社會服務類
9416,1,資訊科技類
9417,1,資訊科技類
9418,1,
9419,1,行銷與銷售類
9420,3,行銷與銷售類
9421,1,
9422,3,政府公共事務類
9423,3,金融財務類
9424,1,藝文與影音傳播類
9425,1,藝文與影音傳播類
9426,1,製造業
9427,1,
9428,1,醫療保健類
9429,1,金融財務類
9430,1,行銷與銷售類
9431,1,製造業
9432,1,
9433,3,
9434,3,金融財務類
9435,1,金融財務類
9436,1,建築營造業
9437,1,物流運輸類
9438,1,行銷與銷售類
9439,1,休閒與觀光旅遊類
9440,1,建築營造業
9441,1,個人及社會服務類
9442,1,製造業
9443,1,休閒與觀光旅遊類
9444,3,藝文與影音傳播類
9445,1,行銷與銷售類
9446,1,教育與訓練類
9447,3,藝文與影音傳播類
9448,1,行銷與銷售類
9449,1,金融財務類
9450,1,金融財務類
9451,3,行銷與銷售類
9452,1,行銷與銷售類
9453,1,教育與訓練類
9454,1,行銷與銷售類
9455,1,製造業
9456,1,資訊科技類
9457,1,個人及社會服務類
9458,1,企業經營管理類
9459,1,金融財務類
9460,3,建築營造業
9461,1,製造業
9462,1,金融財務類
9463,1,資訊科技類
9464,1,教育與訓練類
9465,3,金融財務類
9466,3,資訊科技類
9467,1,資訊科技類
9468,1,藝文與影音傳播類
9469,3,行銷與銷售類
9470,1,金融財務類
9471,1,建築營造業
9472,1,
9473,1,
9474,1,
9475,3,行銷與銷售類
9476,3,
9477,1,藝文與影音傳播類
9478,1,資訊科技類
9479,1,個人及社會服務類
9480,3,製造業
9481,1,資訊科技類
9482,1,資訊科技類
9483,1,
9484,1,藝文與影音傳播類
9485,1,天然資源、食品與農業類
9486,3,醫療保健類
9487,1,休閒與觀光旅遊類
9488,1,藝文與影音傳播類
9489,1,
9490,1,企業經營管理類
9491,1,金融財務類
9492,3,金融財務類
9493,1,金融財務類
9494,1,金融財務類
9495,3,金融財務類
9496,1,金融財務類
9497,1,金融財務類
9498,3,金融財務類
9499,1,金融財務類
9500,1,金融財務類
9501,1,金融財務類
9502,1,物流運輸類
9503,3,金融財務類
9504,1,金融財務類
9505,1,金融財務類
9506,1,金融財務類
9507,1,
9508,3,企業經營管理類
9509,1,金融財務類
9510,3,司法、法律與公共安全類
9511,1,藝文與影音傳播類
9512,1,物流運輸類
9513,3,行銷與銷售類
9514,1,行銷與銷售類
9515,1,企業經營管理類
9516,1,資訊科技類
9517,1,科學、技術、工程、數學類
9518,3,醫療保健類
9519,1,行銷與銷售類
9520,1,資訊科技類
9521,1,資訊科技類
9522,3,製造業
9523,3,資訊科技類
9524,1,資訊科技類
9525,1,
9526,1,資訊科技類
9527,3,資訊科技類
9528,1,資訊科技類
9529,3,
9530,1,
9531,1,資訊科技類
9532,1,金融財務類
9533,3,資訊科技類
9534,1,資訊科技類
9535,3,教育與訓練類
9536,3,教育與訓練類
9537,1,製造業
9538,1,行銷與銷售類
