,畢業滿_年,工作職業類型
1560,1,金融財務類
1561,3,
1562,1,
1563,1,醫療保健類
1564,3,
1565,5,
1566,5,
1567,1,
1568,3,行銷與銷售類
1569,5,
1570,1,
1571,1,
1572,5,
1573,1,
1574,5,
1575,5,
1576,1,
1577,5,
1578,1,天然資源、食品與農業類
1579,3,行銷與銷售類
1580,5,
1581,1,
1582,5,
1583,3,政府公共事務類
1584,5,
1585,1,
1586,5,
1587,1,
1588,1,行銷與銷售類
1589,5,
1590,5,
1591,1,行銷與銷售類
1592,1,
1593,5,
1594,5,
1595,5,
1596,1,
1597,5,
1598,1,
1599,1,
1600,5,
1601,1,
1602,5,
1603,1,
1604,5,
1605,1,
1606,5,
1607,3,製造業
1608,1,
1609,5,
1610,1,
1611,1,金融財務類
1612,5,
1613,1,
1614,1,
1615,5,
1616,1,
1617,5,
1618,1,
1619,3,金融財務類
1620,1,
1621,3,個人及社會服務類
1622,1,休閒與觀光旅遊類
1623,5,
1624,1,
1625,5,
1626,1,
1627,1,
1628,5,
1629,5,
1630,1,
1631,3,
1632,5,
1633,1,
1634,5,
1635,1,
1636,3,
1637,1,
1638,5,
1639,1,
1640,5,
1641,5,
1642,5,
1643,5,
1644,1,
1645,5,
1646,5,
1647,1,
1648,1,
1649,3,
1650,3,
1651,1,
1652,5,
1653,5,
1654,5,
1655,1,
1656,5,
1657,1,
1658,1,
1659,5,
1660,1,
1661,5,
1662,1,
1663,3,
1664,5,
1665,1,
1666,1,休閒與觀光旅遊類
1667,5,
1668,1,
1669,5,
1670,1,教育與訓練類
1671,1,
1672,3,休閒與觀光旅遊類
1673,3,行銷與銷售類
1674,5,
1675,3,
1676,1,
1677,5,
1678,3,科學、技術、工程、數學類
1679,1,教育與訓練類
1680,3,金融財務類
1681,1,
1682,1,
1683,3,教育與訓練類
1684,1,
1685,1,資訊科技類
1686,5,
1687,1,
1688,1,
1689,5,
1690,5,
1691,1,金融財務類
1692,5,
1693,1,
1694,1,
1695,3,企業經營管理類
1696,5,
1697,1,
1698,5,
1699,3,金融財務類
1700,3,科學、技術、工程、數學類
1701,3,
1702,1,
1703,1,
1704,3,企業經營管理類
1705,5,
1706,3,資訊科技類
1707,1,個人及社會服務類
1708,3,
1709,5,
1710,1,個人及社會服務類
1711,3,教育與訓練類
1712,5,
1713,1,
1714,3,金融財務類
1715,3,
1716,5,
1717,1,
1718,3,製造業
1719,5,
1720,5,
1721,5,
1722,1,個人及社會服務類
1723,1,
1724,5,
1725,5,
1726,1,
1727,5,
1728,1,
1729,5,
1730,1,
1731,1,
1732,5,
1733,1,
1734,1,
1735,5,
1736,1,
1737,1,
1738,5,
1739,1,行銷與銷售類
1740,3,行銷與銷售類
1741,1,科學、技術、工程、數學類
1742,5,
1743,3,
1744,1,行銷與銷售類
1745,1,
1746,3,
1747,1,
1748,1,
1749,3,
1750,5,
1751,3,資訊科技類
1752,1,
1753,1,
1754,5,
1755,1,
1756,5,
1757,1,
1758,3,
1759,1,
1760,3,行銷與銷售類
1761,1,金融財務類
1762,3,企業經營管理類
1763,1,
1764,3,
