,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,兼任教師數-教師總數總計,兼任教師數-教師總數男,兼任教師數-教師總數女,兼任教師數-教授男,兼任教師數-教授女,兼任教師數-副教授男,兼任教師數-副教授女,兼任教師數-助理教授男,兼任教師數-助理教授女,兼任教師數-講師男,兼任教師數-講師女,兼任教師數-其他教師男,兼任教師數-其他教師女,兼任助理教授以上人數-總計,兼任助理教授以上人數-男,兼任助理教授以上人數-女,兼任講師以上人數-總計,兼任講師以上人數-男,兼任講師以上人數-女
77,111,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,14,10,4,0,0,0,0,3,1,7,3,0,0,4,3,1,14,10,4
78,111,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,32,18,14,0,1,2,3,7,5,9,5,0,0,18,9,9,32,18,14
79,111,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,70,44,26,3,0,7,6,12,5,22,15,0,0,33,22,11,70,44,26
80,111,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,34,18,16,0,0,1,0,5,7,12,9,0,0,13,6,7,34,18,16
81,111,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,28,23,5,0,1,4,1,7,0,12,3,0,0,13,11,2,28,23,5
82,111,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
83,111,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,60,27,33,2,0,3,2,15,20,7,11,0,0,42,20,22,60,27,33
84,111,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
85,111,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,14,9,5,1,1,0,0,4,1,4,3,0,0,7,5,2,14,9,5
86,112,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,10,7,3,0,0,0,0,2,1,5,2,0,0,3,2,1,10,7,3
