,學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,專任教師數-教師總數總計,專任教師數-教師總數男,專任教師數-教師總數女,專任教師數-教授男,專任教師數-教授女,專任教師數-副教授男,專任教師數-副教授女,專任教師數-助理教授男,專任教師數-助理教授女,專任教師數-講師男,專任教師數-講師女,專任教師數-其他教師男,專任教師數-其他教師女,專任助理教授以上人數-總計,專任助理教授以上人數-男,專任助理教授以上人數-女,專任講師以上人數-總計,專任講師以上人數-男,專任講師以上人數-女
59,109,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,32,21,11,4,2,11,6,5,3,1,0,0,0,31,20,11,32,21,11
60,109,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,24,12,12,4,2,6,5,0,2,2,3,0,0,19,10,9,24,12,12
61,109,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,3,3,0,2,0,0,0,1,0,0,0,0,0,3,3,0,3,3,0
62,109,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
63,109,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,18,11,7,4,0,4,5,3,0,0,2,0,0,16,11,5,18,11,7
64,109,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
65,109,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,17,10,7,2,0,2,4,6,1,0,1,0,1,15,10,5,16,10,6
66,109,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,12,8,4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0
67,109,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,8,5,3,2,0,0,0,0,3,2,0,1,0,5,2,3,7,4,3
68,110,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,9,4,5,1,1,1,0,2,4,0,0,0,0,9,4,5,9,4,5
69,110,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,9,4,5,0,0,3,2,1,2,0,1,0,0,8,4,4,9,4,5
70,110,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,1,0,2,0,0,0,0,0,5,5,0,5,5,0
71,110,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,7,5,2,1,0,1,1,3,1,0,0,0,0,7,5,2,7,5,2
72,110,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,3,3,4,1,3,0,1,0,0,14,4,10,15,4,11
73,110,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,15,7,8,4,5,0,3,3,0,0,0,0,0,15,7,8,15,7,8
74,110,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,2,4,0,0,1,3,1,0,0,1,0,0,5,2,3,6,2,4
75,110,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,20,10,10,2,4,6,4,1,1,1,1,0,0,18,9,9,20,10,10
76,110,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,18,8,10,2,2,5,4,1,2,0,2,0,0,16,8,8,18,8,10
77,110,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,28,18,10,4,2,9,5,4,3,1,0,0,0,27,17,10,28,18,10
78,110,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,24,12,12,4,2,6,7,0,0,2,3,0,0,19,10,9,24,12,12
79,110,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,2,2,0,1,0,0,0,1,0,0,0,0,0,2,2,0,2,2,0
80,110,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,3,3,0,2,0,1,0,0,0,0,0,0,0,3,3,0,3,3,0
81,110,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,19,13,6,4,0,4,4,5,0,0,2,0,0,17,13,4,19,13,6
82,110,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
83,110,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,15,10,5,2,0,2,4,5,0,1,0,0,1,13,9,4,14,10,4
84,110,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,11,8,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0
85,110,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,9,7,2,2,0,2,0,0,2,2,0,1,0,6,4,2,8,6,2
86,111,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,9,5,4,0,0,3,0,2,4,0,0,0,0,9,5,4,9,5,4
87,111,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,10,4,6,0,0,3,2,1,3,0,1,0,0,9,4,5,10,4,6
88,111,公立,技專校院,51,國立臺北商業大學,02122024,創意設計與經營研究所,5,5,0,2,0,1,0,2,0,0,0,0,0,5,5,0,5,5,0
89,111,公立,技專校院,51,國立臺北商業大學,02122026,創意科技與產品設計系,9,5,4,2,1,1,1,2,2,0,0,0,0,9,5,4,9,5,4
90,111,公立,技專校院,51,國立臺北商業大學,02311006,應用外語系,15,4,11,0,4,3,3,1,2,0,2,0,0,13,4,9,15,4,11
91,111,公立,技專校院,51,國立臺北商業大學,04111009,會計資訊系,14,6,8,4,4,0,4,2,0,0,0,0,0,14,6,8,14,6,8
92,111,公立,技專校院,51,國立臺北商業大學,04111027,會計與資料科學科,6,3,3,0,0,1,2,1,0,1,1,0,0,4,2,2,6,3,3
93,111,公立,技專校院,51,國立臺北商業大學,04121013,財務金融系,21,11,10,3,4,6,4,1,1,1,1,0,0,19,10,9,21,11,10
94,111,公立,技專校院,51,國立臺北商業大學,04122014,財政稅務系,18,10,8,2,2,6,4,2,1,0,1,0,0,17,10,7,18,10,8
95,111,公立,技專校院,51,國立臺北商業大學,04131010,企業管理系,34,23,11,4,2,11,4,7,5,1,0,0,0,33,22,11,34,23,11
96,111,公立,技專校院,51,國立臺北商業大學,04141012,國際商務系,23,11,12,4,2,5,7,0,0,2,3,0,0,18,9,9,23,11,12
97,111,公立,技專校院,51,國立臺北商業大學,04191025,財經學院博士班,3,2,1,1,1,1,0,0,0,0,0,0,0,3,2,1,3,2,1
98,111,公立,技專校院,51,國立臺北商業大學,04199021,貿易實務法律暨談判碩士學位學程,2,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0
99,111,公立,技專校院,51,國立臺北商業大學,06131017,資訊管理系,19,14,5,4,0,4,4,6,0,0,1,0,0,18,14,4,19,14,5
100,111,公立,技專校院,51,國立臺北商業大學,06131018,資訊與決策科學研究所,5,5,0,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,0
101,111,公立,技專校院,51,國立臺北商業大學,99999Z01,通識教育中心,14,8,6,2,1,3,3,3,1,0,0,0,1,13,8,5,13,8,5
102,111,公立,技專校院,51,國立臺北商業大學,99999Z03,軍訓教官,11,8,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0
103,111,公立,技專校院,51,國立臺北商業大學,99999Z07,體育室,9,7,2,2,0,2,1,0,1,2,0,1,0,6,4,2,8,6,2
104,112,公立,技專校院,51,國立臺北商業大學,02112007,數位多媒體設計系,8,5,3,0,0,3,0,2,3,0,0,0,0,8,5,3,8,5,3
105,112,公立,技專校院,51,國立臺北商業大學,02122015,商業設計管理系,8,3,5,0,0,3,3,0,2,0,0,0,0,8,3,5,8,3,5
