,Status,Dept_Short,End_Year,Edu_Short,畢業滿_年
3870,畢業,二技應外,104,日二技,3
3871,畢業,二技應外,105,日二技,1
3872,畢業,二技應外,104,日二技,5
3873,畢業,二技應外,104,日二技,3
3874,畢業,二技應外,104,日二技,3
3875,畢業,二技應外,104,日二技,5
3876,畢業,二技應外,104,日二技,3
3877,畢業,二技應外,104,日二技,3
3878,畢業,二技應外,104,日二技,3
3879,畢業,二技應外,104,日二技,3
3880,畢業,二技應外,105,日二技,1
3881,畢業,二技應外,105,日二技,5
3882,畢業,二技應外,105,日二技,3
3883,畢業,二技應外,104,日二技,3
3884,畢業,二技應外,104,日二技,3
3885,畢業,二技應外,104,日二技,3
3886,畢業,二技應外,104,日二技,5
3887,畢業,二技應外,104,日二技,3
3888,畢業,二技創科,104,日二技,5
3889,畢業,二技創科,104,日二技,3
3890,畢業,二技創科,104,日二技,5
3891,畢業,二技創科,104,日二技,5
3892,畢業,二技創科,105,日二技,3
3893,畢業,二技創科,105,日二技,5
3894,畢業,二技創科,104,日二技,5
3895,畢業,二技創科,104,日二技,3
3896,畢業,二技創科,104,日二技,5
3897,畢業,二技創科,104,日二技,3
3898,畢業,二技創科,104,日二技,5
3899,畢業,二技創科,104,日二技,5
3900,畢業,二技創科,104,日二技,3
3901,畢業,二技創科,105,日二技,1
3902,畢業,二技創科,105,日二技,5
3903,畢業,二技創科,105,日二技,3
3904,畢業,二技創科,104,日二技,3
3905,畢業,二技創科,104,日二技,3
3906,畢業,二技創科,104,日二技,5
3907,畢業,二技創科,104,日二技,5
3908,畢業,二技創科,104,日二技,3
3909,畢業,二技創科,104,日二技,3
3910,畢業,二技創科,104,日二技,5
3911,畢業,二技創科,104,日二技,3
3912,畢業,二技創科,104,日二技,3
3913,畢業,二技創科,104,日二技,3
3914,畢業,二技創科,104,日二技,5
3915,畢業,二技創科,104,日二技,5
3916,畢業,二技創科,104,日二技,3
3917,畢業,二技創科,104,日二技,3
3918,畢業,二技創科,104,日二技,5
3919,畢業,二技創科,104,日二技,3
3920,畢業,二技創科,104,日二技,5
3921,畢業,二技創科,105,日二技,1
3922,畢業,二技創科,104,日二技,3
3923,畢業,二技商設,104,日二技,5
3924,畢業,二技商設,104,日二技,3
3925,畢業,二技商設,104,日二技,5
3926,畢業,二技商設,104,日二技,5
3927,畢業,二技商設,104,日二技,1
3928,畢業,二技商設,104,日二技,1
3929,畢業,二技商設,104,日二技,3
3930,畢業,二技商設,104,日二技,5
3931,畢業,二技商設,104,日二技,3
3932,畢業,二技商設,104,日二技,1
3933,畢業,二技商設,104,日二技,1
3934,畢業,二技商設,104,日二技,1
3935,畢業,二技商設,104,日二技,5
3936,畢業,二技商設,104,日二技,3
3937,畢業,二技商設,104,日二技,1
3938,畢業,二技商設,104,日二技,3
3939,畢業,二技商設,104,日二技,5
3940,畢業,二技商設,104,日二技,1
3941,畢業,二技商設,104,日二技,5
3942,畢業,二技商設,104,日二技,3
3943,畢業,二技商設,104,日二技,5
3944,畢業,二技商設,104,日二技,5
3945,畢業,二技商設,104,日二技,3
3946,畢業,二技商設,104,日二技,1
3947,畢業,二技商設,104,日二技,3
3948,畢業,二技商設,104,日二技,5
3949,畢業,二技商設,104,日二技,3
3950,畢業,二技商設,104,日二技,1
3951,畢業,二技商設,104,日二技,5
3952,畢業,二技商設,104,日二技,3
3953,畢業,二技商設,105,日二技,1
3954,畢業,二技商設,104,日二技,1
3955,畢業,二技商設,104,日二技,1
3956,畢業,二技商設,104,日二技,1
3957,畢業,二技商設,104,日二技,1
3958,畢業,二技商設,104,日二技,3
3959,畢業,二技商設,104,日二技,3
3960,畢業,二技商設,104,日二技,5
3961,畢業,二技商設,104,日二技,3
3962,畢業,二技數媒,104,日二技,5
3963,畢業,二技數媒,104,日二技,3
3964,畢業,二技數媒,104,日二技,1
3965,畢業,二技數媒,104,日二技,3
3966,畢業,二技數媒,104,日二技,5
3967,畢業,二技數媒,104,日二技,1
3968,畢業,二技數媒,104,日二技,3
3969,畢業,二技數媒,104,日二技,5
3970,畢業,二技數媒,104,日二技,1
3971,畢業,二技數媒,104,日二技,1
3972,畢業,二技數媒,104,日二技,3
3973,畢業,二技數媒,104,日二技,1
3974,畢業,二技數媒,104,日二技,3
3975,畢業,二技數媒,104,日二技,1
3976,畢業,二技數媒,104,日二技,1
3977,畢業,二技數媒,104,日二技,3
3978,畢業,二技數媒,104,日二技,5
3979,畢業,二技數媒,104,日二技,1
3980,畢業,二技數媒,104,日二技,3
3981,畢業,二技數媒,104,日二技,5
3982,畢業,二技數媒,104,日二技,1
3983,畢業,二技數媒,104,日二技,3
3984,畢業,二技數媒,104,日二技,1
3985,畢業,二技數媒,104,日二技,3
